,FIPS,State,FIPS State,County,Population,St,Ct
14,01001,Alabama,1,"Autauga County, AL",55504,AL,Autauga County
29,01003,Alabama,1,"Baldwin County, AL",212628,AL,Baldwin County
44,01005,Alabama,1,"Barbour County, AL",25270,AL,Barbour County
59,01007,Alabama,1,"Bibb County, AL",22668,AL,Bibb County
74,01009,Alabama,1,"Blount County, AL",58013,AL,Blount County
89,01011,Alabama,1,"Bullock County, AL",10309,AL,Bullock County
104,01013,Alabama,1,"Butler County, AL",19825,AL,Butler County
119,01015,Alabama,1,"Calhoun County, AL",114728,AL,Calhoun County
134,01017,Alabama,1,"Chambers County, AL",33713,AL,Chambers County
149,01019,Alabama,1,"Cherokee County, AL",25857,AL,Cherokee County
164,01021,Alabama,1,"Chilton County, AL",44067,AL,Chilton County
179,01023,Alabama,1,"Choctaw County, AL",12945,AL,Choctaw County
194,01025,Alabama,1,"Clarke County, AL",24083,AL,Clarke County
209,01027,Alabama,1,"Clay County, AL",13367,AL,Clay County
224,01029,Alabama,1,"Cleburne County, AL",14900,AL,Cleburne County
239,01031,Alabama,1,"Coffee County, AL",51874,AL,Coffee County
255,01033,Alabama,1,"Colbert County, AL",54500,AL,Colbert County
270,01035,Alabama,1,"Conecuh County, AL",12469,AL,Conecuh County
285,01037,Alabama,1,"Coosa County, AL",10754,AL,Coosa County
299,01039,Alabama,1,"Covington County, AL",37092,AL,Covington County
314,01041,Alabama,1,"Crenshaw County, AL",13871,AL,Crenshaw County
329,01043,Alabama,1,"Cullman County, AL",82755,AL,Cullman County
344,01045,Alabama,1,"Dale County, AL",49226,AL,Dale County
359,01047,Alabama,1,"Dallas County, AL",39215,AL,Dallas County
374,01049,Alabama,1,"DeKalb County, AL",71617,AL,DeKalb County
389,01051,Alabama,1,"Elmore County, AL",81677,AL,Elmore County
404,01053,Alabama,1,"Escambia County, AL",37447,AL,Escambia County
419,01055,Alabama,1,"Etowah County, AL",102755,AL,Etowah County
434,01057,Alabama,1,"Fayette County, AL",16468,AL,Fayette County
449,01059,Alabama,1,"Franklin County, AL",31495,AL,Franklin County
464,01061,Alabama,1,"Geneva County, AL",26421,AL,Geneva County
479,01063,Alabama,1,"Greene County, AL",8330,AL,Greene County
494,01065,Alabama,1,"Hale County, AL",14812,AL,Hale County
509,01067,Alabama,1,"Henry County, AL",17147,AL,Henry County
524,01069,Alabama,1,"Houston County, AL",104346,AL,Houston County
539,01071,Alabama,1,"Jackson County, AL",51909,AL,Jackson County
554,01073,Alabama,1,"Jefferson County, AL",659197,AL,Jefferson County
569,01075,Alabama,1,"Lamar County, AL",13946,AL,Lamar County
584,01077,Alabama,1,"Lauderdale County, AL",92538,AL,Lauderdale County
599,01079,Alabama,1,"Lawrence County, AL",33049,AL,Lawrence County
614,01081,Alabama,1,"Lee County, AL",161604,AL,Lee County
629,01083,Alabama,1,"Limestone County, AL",94402,AL,Limestone County
644,01085,Alabama,1,"Lowndes County, AL",10076,AL,Lowndes County
